序号,证券代码,证券简称,自由流通市值(亿元),总市值(亿元),申万一级行业,在原来数据中的序号
132,600170.XSHG,上海建工,134.9,269.8,建筑装饰,1695
133,600176.XSHG,中国巨石,203.2,338.67,建筑材料,1700
134,600177.XSHG,雅戈尔,180.25,257.51,纺织服饰,1701
135,600188.XSHG,兖矿能源,77.97,431.28,煤炭,1711
136,600196.XSHG,复星医药,233.99,596.42,医药生物,1718
137,600208.XSHG,新湖中宝,124.69,249.38,房地产,1728
138,600219.XSHG,南山铝业,151.29,252.16,有色金属,1738
139,600221.XSHG,海航控股,216.31,315.96,交通运输,1740
140,600233.XSHG,圆通速递,36.8,282.86,交通运输,1751
141,600271.XSHG,航天信息,255.8,426.33,计算机,1785
142,600276.XSHG,恒瑞医药,1165.38,1942.3,医药生物,1789
143,600297.XSHG,广汇汽车,100.09,333.64,汽车,1807
144,600309.XSHG,万华化学,459.15,765.25,基础化工,1818
145,600332.XSHG,白云山,201.1,581.38,医药生物,1839
146,600339.XSHG,中油工程,60.8,202.67,石油石化,1845
147,600340.XSHG,华夏幸福,458.6,764.33,房地产,1846
148,600346.XSHG,恒力石化,100.42,669.49,石油石化,1849
149,600352.XSHG,浙江龙盛,251.16,313.95,基础化工,1853
150,600362.XSHG,江西铜业,136.55,455.7,有色金属,1862
151,600369.XSHG,西南证券,98.22,196.45,非银金融,1868
152,600372.XSHG,中航电子,68.5,228.34,国防军工,1871
153,600383.XSHG,金地集团,217.15,434.3,房地产,1881
154,600390.XSHG,五矿资本,36.52,260.89,非银金融,1887
155,600398.XSHG,海澜之家,152.39,380.99,纺织服饰,1894
156,600406.XSHG,国电南瑞,339.74,849.35,电力设备,1900
157,600415.XSHG,小商品城,94.98,189.97,商贸零售,1904
158,600436.XSHG,片仔癀,261.39,522.77,医药生物,1919
159,600438.XSHG,通威股份,160.73,321.46,电力设备,1920
160,600482.XSHG,中国动力,154.47,382.21,电力设备,1947
161,600487.XSHG,亨通光电,227.2,324.58,通信,1951
162,600489.XSHG,中金黄金,148.05,296.11,有色金属,1953
163,600498.XSHG,烽火通信,199.64,332.73,通信,1960
164,600516.XSHG,方大炭素,179.34,302.02,钢铁,1976
165,600518.XSHG,ST康美,274.86,458.09,医药生物,1978
166,600519.XSHG,贵州茅台,2964.68,7411.69,食品饮料,1979
